station_id,station_number,station_name,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
46,42,Santa Isabel,receiver,147,964,676,288,0.7439995776870748,17,0
47,43,Jesús y María,donor,11,64,64,0,0.7500631509090909,0,0
47,43,Jesús y María,receiver,288,1917,1588,329,0.7929244659722222,38,0
48,44,Plaza de Nelson Mandela,donor,63,359,359,0,0.8363975050793652,1,0
48,44,Plaza de Nelson Mandela,receiver,118,661,455,206,0.7106020405084746,9,0
49,45,Puerta de Toledo,donor,46,246,246,0,0.776217969347826,4,46
49,45,Puerta de Toledo,receiver,98,549,306,243,0.6663699244897959,14,98
50,46,Ribera de Curtidores,donor,45,271,271,0,0.7303524133333335,4,0
50,46,Ribera de Curtidores,receiver,34,212,70,142,0.6780448314705882,4,0
51,47,Embajadores 1,donor,31,187,187,0,0.7251775370967741,4,0
51,47,Embajadores 1,receiver,47,298,196,102,0.7199637485106383,3,0
52,48,Embajadores 2,donor,18,106,106,0,0.649136425,2,0
52,48,Embajadores 2,receiver,91,572,392,180,0.7461801851648352,7,0
53,49,Casa Encendida,donor,28,177,177,0,0.7766496728571429,0,0
53,49,Casa Encendida,receiver,38,237,103,134,0.6690124971052631,1,0
54,50,Museo Reina Sofía,receiver,94,599,490,109,0.7784352817021276,12,0
55,51,Ronda de Atocha,donor,2,12,12,0,0.55271022,0,0
55,51,Ronda de Atocha,receiver,40,306,211,95,0.7762971705,7,0
56,52,Plaza de Santa Ana,donor,59,353,353,0,0.7028377705084746,11,0
56,52,Plaza de Santa Ana,receiver,19,120,85,35,0.7024770468421052,3,0
57,53,Plaza de Lavapiés,donor,26,172,172,0,0.7575357357692307,0,26
57,53,Plaza de Lavapiés,receiver,117,753,464,289,0.7127554103418804,17,117
58,54,Barceló,donor,28,151,151,0,0.7062513703571429,4,28
58,54,Barceló,receiver,264,1485,671,814,0.8010883243560606,23,264
59,55,Plaza de San Ildefonso,donor,21,132,132,0,0.6769492357142857,2,0
59,55,Plaza de San Ildefonso,receiver,156,1027,370,657,0.7505119607692308,19,0
60,56,Plaza del Carmen ,donor,9,59,59,0,0.7731809733333334,2,0
60,56,Plaza del Carmen ,receiver,127,856,719,137,0.8404007576377953,19,0
61,57,Santa Cruz del Marcenado,donor,1,6,6,0,0.8557243,0,0
61,57,Santa Cruz del Marcenado,receiver,108,688,440,248,0.8347789487962963,11,0
62,58,Augusto Figueroa,donor,17,106,106,0,0.6912349411764707,2,0
62,58,Augusto Figueroa,receiver,75,483,236,247,0.7619819952,4,0
63,59,Plaza de Juan Pujol,donor,11,54,54,0,0.7224669209090909,0,11
63,59,Plaza de Juan Pujol,receiver,276,1514,1009,505,0.7901624701449275,46,276
64,60,Plaza de la Independencia,donor,50,294,294,0,0.69850965,4,50
64,60,Plaza de la Independencia,receiver,193,1235,829,406,0.827142767150259,14,193
65,61,Narváez,donor,4,23,23,0,0.557288585,0,0
65,61,Narváez,receiver,42,277,160,117,0.734530143095238,8,0
66,62,O'Donnell,donor,8,49,49,0,0.72063573625,1,0
66,62,O'Donnell,receiver,151,984,854,130,0.8137396192715232,18,0
67,63,Ibiza,donor,1,6,6,0,0.7496878,0,0
67,63,Ibiza,receiver,64,401,332,69,0.78018847234375,4,0
69,65,Antonio Maura,donor,31,187,187,0,0.71963235,0,0
69,65,Antonio Maura,receiver,126,811,695,116,0.8269911754761904,5,0
71,67,Almadén,donor,11,69,69,0,0.8015334381818182,0,0
71,67,Almadén,receiver,44,250,174,76,0.7741074747727272,5,0
72,68,Espalter,donor,18,91,91,0,0.6788803577777778,0,0
72,68,Espalter,receiver,298,222,202,20,0.9761905629530201,41,0
73,69,Puerta del Ángel Caído,donor,25,169,169,0,0.6921835892,2,0
73,69,Puerta del Ángel Caído,receiver,25,180,149,31,0.7696174976000001,2,0
74,70,Puerta del Doce de Octubre,donor,8,55,55,0,0.74065128625,5,0
74,70,Puerta del Doce de Octubre,receiver,86,552,381,171,0.7282474489534884,6,0
75,71,Doce de Octubre,donor,24,150,150,0,0.805187795,0,0
75,71,Doce de Octubre,receiver,28,175,107,68,0.6714837035714286,3,0
76,72,Sainz de Baranda,donor,18,128,128,0,0.82651436,4,0
76,72,Sainz de Baranda,receiver,47,313,213,100,0.7412933665957447,2,0
77,73,Plaza de los Astros,donor,33,220,220,0,0.7742582757575758,5,0
77,73,Plaza de los Astros,receiver,36,233,107,126,0.6736040530555556,2,0
78,74,Puerta del Pacífico ,donor,8,48,48,0,0.6613095575,3,0
78,74,Puerta del Pacífico ,receiver,74,488,333,155,0.7176090813513514,6,0
79,75,Menéndez Pelayo,donor,74,458,458,0,0.7800858571621622,5,0
79,75,Menéndez Pelayo,receiver,21,129,65,64,0.6414964333333333,2,0
80,76,Puerta de Mariano de Cavia,donor,65,412,412,0,0.8242935743076922,2,0
80,76,Puerta de Mariano de Cavia,receiver,21,131,77,54,0.6513886957142857,7,0
81,77,Conde de Casal,donor,69,374,374,0,0.772305320289855,8,0
81,77,Conde de Casal,receiver,26,136,76,60,0.6405020880769231,1,0
82,78,Pedro Bosch,donor,141,941,941,0,0.8305510540425531,16,0
82,78,Pedro Bosch,receiver,8,51,39,12,0.67518757625,1,0
83,79,Puerta de Granada,donor,94,596,596,0,0.8271230861702128,6,0
83,79,Puerta de Granada,receiver,25,146,113,33,0.6687030436000001,4,0
84,80a,Atocha A,donor,17,101,101,0,0.6754154282352942,5,0
84,80a,Atocha A,receiver,24,153,139,14,0.7988531175000001,0,0
85,80b,Atocha B,donor,48,365,365,0,0.8051927460416667,11,0
85,80b,Atocha B,receiver,11,77,77,0,0.8239909218181818,0,0
86,81,Cuesta de Moyano,donor,4,23,23,0,0.5778775675,0,0
86,81,Cuesta de Moyano,receiver,79,502,394,108,0.7777545002531646,4,0
87,82,Niño Jesús,donor,12,80,80,0,0.86028971,2,0
87,82,Niño Jesús,receiver,164,1246,1185,61,0.934680020792683,16,0
88,83,Pío Baroja,donor,6,36,36,0,0.7230573833333334,0,0
88,83,Pío Baroja,receiver,75,510,442,68,0.7894739869333334,6,0
89,84,Valderribas,receiver,1436,0,0,0,0.9986089708495821,180,0
90,85,Puerta de Madrid,donor,1,7,7,0,0.6076525,1,0
90,85,Puerta de Madrid,receiver,55,421,255,166,0.7640873423636364,2,0
91,86,Cibeles,donor,30,151,151,0,0.7157641823333333,2,0
91,86,Cibeles,receiver,207,1168,840,328,0.832885450821256,10,0
92,87,Ayala,donor,49,296,296,0,0.7107849493877552,2,0
92,87,Ayala,receiver,313,914,749,165,0.9424979738338659,35,0
93,88,Embajada de Italia,donor,26,186,186,0,0.8249213753846154,0,0
93,88,Embajada de Italia,receiver,210,1366,674,692,0.8488082460952381,24,0
94,89,Conde Peñalver,donor,2,13,13,0,0.74535039,0,0
94,89,Conde Peñalver,receiver,113,652,321,331,0.7770292719469027,9,0
