fecha_hora_local,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
2022-11-02 14:00:00,donor,7,49,49,0,0.6788583214285715,0,1
2022-11-02 14:00:00,receiver,36,177,113,64,0.7459867388888889,0,0
2022-11-02 18:00:00,donor,3,18,18,0,0.6980312,3,0
2022-11-02 18:00:00,receiver,38,189,40,149,0.7961960757894737,38,3
2022-11-02 19:00:00,donor,6,37,37,0,0.6816048166666667,6,0
2022-11-02 19:00:00,receiver,43,225,69,156,0.8063330127906976,43,4
2022-11-02 20:00:00,donor,4,21,21,0,0.6759687375,0,1
2022-11-02 20:00:00,receiver,44,220,82,138,0.8044603872727273,0,4
2022-11-02 21:00:00,donor,7,40,40,0,0.7483710271428572,0,0
2022-11-02 21:00:00,receiver,52,278,106,172,0.8140134686538462,0,4
2022-11-02 22:00:00,donor,11,62,62,0,0.6973048281818182,0,0
2022-11-02 22:00:00,receiver,58,316,122,194,0.8456294693103448,0,4
2022-11-02 23:00:00,donor,16,102,102,0,0.787392843125,0,0
2022-11-02 23:00:00,receiver,64,362,149,213,0.86291105578125,0,4
2022-11-03 00:00:00,donor,18,110,110,0,0.7724804105555555,0,0
2022-11-03 00:00:00,receiver,53,289,161,128,0.8922802301886793,0,5
2022-11-03 01:00:00,donor,12,78,78,0,0.9037260541666666,0,0
2022-11-03 01:00:00,receiver,54,308,162,146,0.943241724074074,0,5
2022-11-03 02:00:00,donor,11,69,69,0,0.8138596618181818,0,0
2022-11-03 02:00:00,receiver,53,302,153,149,0.9457124256603774,0,6
2022-11-03 03:00:00,donor,8,45,45,0,0.7722698775,0,0
2022-11-03 03:00:00,receiver,50,277,153,124,0.9483268549999999,0,7
2022-11-03 04:00:00,donor,5,30,30,0,0.9004902319999999,0,0
2022-11-03 04:00:00,receiver,47,250,156,94,0.9415096665957446,0,6
2022-11-03 05:00:00,donor,4,23,23,0,0.8144721300000001,0,0
2022-11-03 05:00:00,receiver,44,232,140,92,0.9491869188636364,0,6
2022-11-03 06:00:00,donor,2,12,12,0,0.796618015,0,0
2022-11-03 06:00:00,receiver,47,244,128,116,0.85714952,0,6
2022-11-03 07:00:00,donor,1,7,7,0,0.78085136,0,0
2022-11-03 07:00:00,receiver,38,182,74,108,0.7631530828947369,0,6
2022-11-03 08:00:00,receiver,31,132,44,88,0.7740526158064516,31,2
2022-11-03 09:00:00,donor,7,43,43,0,0.7763038171428571,0,2
2022-11-03 09:00:00,receiver,36,167,62,105,0.804100445,0,2
2022-11-03 10:00:00,donor,6,40,40,0,0.7688873183333333,0,0
2022-11-03 10:00:00,receiver,29,127,70,57,0.8213679144827587,0,3
2022-11-03 11:00:00,donor,4,25,25,0,0.71160198,0,0
2022-11-03 11:00:00,receiver,30,140,61,79,0.8548592913333334,0,3
2022-11-03 12:00:00,donor,3,18,18,0,0.6328120666666667,0,1
2022-11-03 12:00:00,receiver,28,133,55,78,0.8360578564285713,0,1
2022-11-03 13:00:00,donor,2,12,12,0,0.65916445,0,1
2022-11-03 13:00:00,receiver,34,174,51,123,0.7813125617647059,0,3
2022-11-03 14:00:00,receiver,27,126,49,77,0.7831016281481481,0,1
2022-11-03 15:00:00,donor,1,6,6,0,0.73261505,0,0
2022-11-03 15:00:00,receiver,29,134,35,99,0.7632408851724138,0,2
2022-11-03 16:00:00,donor,2,13,13,0,0.75326717,0,0
2022-11-03 16:00:00,receiver,27,128,41,87,0.8007780233333334,0,3
2022-11-03 17:00:00,donor,2,11,11,0,0.54668793,0,0
2022-11-03 17:00:00,receiver,29,133,52,81,0.7909429362068965,0,5
2022-11-03 18:00:00,donor,2,13,13,0,0.73749316,2,0
2022-11-03 18:00:00,receiver,34,163,63,100,0.7604213120588235,34,3
2022-11-03 19:00:00,donor,7,47,47,0,0.6933607842857142,7,0
2022-11-03 19:00:00,receiver,36,171,86,85,0.7709517733333333,36,5
2022-11-03 20:00:00,donor,6,42,42,0,0.7262409133333333,0,0
2022-11-03 20:00:00,receiver,37,184,89,95,0.7869218505405405,0,4
2022-11-03 21:00:00,donor,10,65,65,0,0.743386764,0,0
2022-11-03 21:00:00,receiver,40,208,114,94,0.8460103295,0,5
2022-11-03 22:00:00,donor,13,79,79,0,0.7195025084615385,0,0
2022-11-03 22:00:00,receiver,49,266,128,138,0.8428014965306123,0,4
2022-11-03 23:00:00,donor,8,45,45,0,0.66909503,0,0
2022-11-03 23:00:00,receiver,48,256,125,131,0.8663096375,0,4
2022-11-04 00:00:00,donor,9,60,60,0,0.8454127822222222,0,0
2022-11-04 00:00:00,receiver,46,257,148,109,0.9096555850000001,0,4
2022-11-04 01:00:00,donor,18,113,113,0,0.8181413727777778,0,0
2022-11-04 01:00:00,receiver,50,290,185,105,0.9336794276,0,5
2022-11-04 02:00:00,donor,13,88,88,0,0.8914410069230769,0,0
2022-11-04 02:00:00,receiver,50,289,177,112,0.9423259394,0,6
2022-11-04 03:00:00,donor,10,72,72,0,0.9467751019999999,0,0
2022-11-04 03:00:00,receiver,46,260,157,103,0.9545087810869566,0,6
2022-11-04 04:00:00,donor,10,70,70,0,0.946397769,0,0
2022-11-04 04:00:00,receiver,48,273,166,107,0.9506573591666667,0,7
2022-11-04 05:00:00,donor,10,69,69,0,0.9209296849999999,0,0
