class_value,class_name,global_shap_explanation
1,riesgo_vaciado,occupancy_ratio (valores altos suelen reducir la señal); bikes_available (valores altos suelen reducir la señal); occupancy_ratio_mean_previous_24h (valores altos suelen reducir la señal); light (valores altos suelen aumentar la señal); docks_available (valores altos suelen reducir la señal)
2,riesgo_saturacion,occupancy_ratio (valores altos suelen aumentar la señal); docks_available (valores altos suelen reducir la señal); bikes_available (valores altos suelen aumentar la señal); occupancy_ratio_mean_previous_24h (valores altos suelen aumentar la señal); reservations_count (valores altos suelen aumentar la señal)
