class_value,class_name,original_feature,mean_abs_shap,mean_signed_shap,median_shap,q25_shap,q75_shap,shap_rank_within_class,test_class_share,weighted_abs_shap_component,rank_correlation_value_shap,direction_association,valid_rows,factor_family,interpretation_scope
1,riesgo_vaciado,occupancy_ratio,1.5972975492477417,-0.7688807249069214,-0.8703421354293823,-2.5562610626220703,0.8292626738548279,1,0.11463872710390816,0.18311215785195317,-0.9835625708951327,valores_altos_reducen_contribucion,12000.0,estado_actual_estacion,asociacion_predictiva_no_causal
1,riesgo_vaciado,bikes_available,1.326433539390564,-0.919420599937439,-0.6698650121688843,-2.4845662117004395,0.4604324400424957,2,0.11463872710390816,0.15206065254366588,-0.901782533247183,valores_altos_reducen_contribucion,12000.0,estado_actual_estacion,asociacion_predictiva_no_causal
1,riesgo_vaciado,occupancy_ratio_mean_previous_24h,0.15230438113212585,0.01776506006717682,-0.032489046454429626,-0.12725140154361725,0.012685490772128105,3,0.11463872710390816,0.017459980385335395,-0.9318523737573992,valores_altos_reducen_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,light,0.10967880487442017,0.031941354274749756,-0.014158466830849648,-0.08757656812667847,0.0033021478448063135,4,0.11463872710390816,0.012573438581081444,0.2740815372697748,valores_altos_aumentan_contribucion,12000.0,otra_senal_contextual,asociacion_predictiva_no_causal
1,riesgo_vaciado,docks_available,0.05857925862073898,0.042929235845804214,-0.0030017723329365253,-0.013587145134806633,0.02164587378501892,5,0.11463872710390816,0.0067154516429721554,-0.283370140769705,valores_altos_reducen_contribucion,12000.0,estado_actual_estacion,asociacion_predictiva_no_causal
1,riesgo_vaciado,hour,0.04603784158825874,-0.007515141740441322,-0.01782127283513546,-0.03624598681926727,0.01667916402220726,6,0.11463872710390816,0.005277719558289348,-0.07317525049791031,sin_direccion_monotona_clara,12000.0,temporal_y_calendario,asociacion_predictiva_no_causal
1,riesgo_vaciado,net_flow_lag_24h,0.037823185324668884,-0.0166658703237772,-0.022364813834428787,-0.04353457689285278,0.005141979083418846,7,0.11463872710390816,0.00433600182063526,-0.8036383873073359,valores_altos_reducen_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,occupancy_ratio_lag_1h,0.033151570707559586,0.01282690279185772,0.017804404720664024,-0.016794832423329353,0.03555770218372345,8,0.11463872710390816,0.003800453867409839,-0.18499871794456255,valores_altos_reducen_contribucion,11964.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,occupancy_ratio_mean_previous_3h,0.03291168063879013,0.016950439661741257,0.005855844356119633,-0.013150885701179504,0.05350285395979881,9,0.11463872710390816,0.0037729531752812395,0.6849008396358894,valores_altos_aumentan_contribucion,11881.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,bikes_available_lag_1h,0.032278481870889664,0.018079333007335663,0.012972809374332428,-0.00740852952003479,0.04803922027349472,10,0.11463872710390816,0.003700364074525367,0.5799239470483041,valores_altos_aumentan_contribucion,11964.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,arrivals_count_mean_previous_24h,0.026905985549092293,-0.015363660641014576,-0.011544674634933472,-0.025831494480371475,0.006322490517050028,11,0.11463872710390816,0.003084467934824088,0.26616337652407335,valores_altos_aumentan_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,station_id,0.024251185357570648,-0.009824746288359165,-0.007604391314089298,-0.01217866875231266,-0.00040067825466394424,12,0.11463872710390816,0.0027801250201528347,,,,identidad_y_heterogeneidad_espacial,asociacion_predictiva_no_causal
1,riesgo_vaciado,departures_count_lag_1h,0.023986129090189934,-0.009548043832182884,-0.012700941413640976,-0.024584680795669556,0.00932113267481327,13,0.11463872710390816,0.0027497393070493965,0.8544757270828877,valores_altos_aumentan_contribucion,11964.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,net_flow_mean_previous_3h,0.023243550211191177,-0.009165209718048573,-0.012240629643201828,-0.02815389633178711,0.011415088549256325,14,0.11463872710390816,0.0026646110095867323,-0.8266289542378822,valores_altos_reducen_contribucion,11881.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,departures_count_lag_24h,0.02287600003182888,-0.01189443189650774,-0.01274125650525093,-0.02987637370824814,-0.0016060300404205918,15,0.11463872710390816,0.002622475524877825,0.7837280517869587,valores_altos_aumentan_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,arrivals_count_lag_1h,0.022008992731571198,-0.002867863280698657,-0.008631378412246704,-0.01762918010354042,0.009311297908425331,16,0.11463872710390816,0.0025230829115864884,-0.8859787645481071,valores_altos_reducen_contribucion,11964.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,occupancy_ratio_lag_24h,0.019965393468737602,-7.908605766715482e-05,-0.007022838108241558,-0.014761241152882576,0.0007105172844603658,17,0.11463872710390816,0.0022888072933847604,-0.18238980963623852,valores_altos_reducen_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,occupancy_ratio_lag_2h,0.019737062975764275,0.0063053094781935215,0.009311957284808159,-0.012411405332386494,0.024342069402337074,18,0.11463872710390816,0.00226263177631129,0.022761828398711253,sin_direccion_monotona_clara,11928.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
1,riesgo_vaciado,relative_humidity_median_pct,0.01826721616089344,-0.01792295090854168,-0.015888523310422897,-0.02496287040412426,-0.008065182715654373,19,0.11463872710390816,0.002094130408416764,-0.6004469037010045,valores_altos_reducen_contribucion,12000.0,meteorologia,asociacion_predictiva_no_causal
