month,rows,errors,support_empty,false_negatives_empty,support_full,false_negatives_full,false_positives_empty,false_positives_full,error_rate,recall_empty,recall_full,critical_support,critical_false_negatives,critical_false_negative_rate
2022-11,188760,13172,23678,5179,3861,1172,5126,1696,0.06978173341809706,0.7812737562294113,0.6964516964516965,27539,6351,0.23061839572969245
2022-12,190344,7893,19782,3326,1861,597,3092,880,0.04146702811751356,0.8318673541603478,0.6792047286405158,21643,3923,0.1812595296400684
