class_value,class_name,original_feature,mean_abs_shap,mean_signed_shap,median_shap,q25_shap,q75_shap,shap_rank_within_class,test_class_share,weighted_abs_shap_component
0,estable,capacity,0.014863627031445503,-0.0010967677226290107,0.0009158558677881956,-0.0019613131880760193,0.003952971659600735,14,0.8702677893137503,0.012935335837840178
0,estable,bikes_available,0.19912298023700714,-0.024866018444299698,-0.07569069415330887,-0.20698238909244537,0.19767367839813232,3,0.8702677893137503,0.1732903158124258
0,estable,docks_available,0.03972127288579941,-0.008925843983888626,0.009277185425162315,-0.01740574836730957,0.02532901242375374,6,0.8702677893137503,0.03456814434305286
0,estable,reservations_count,0.005071314051747322,-0.000400631659431383,0.0002275403094245121,-0.0016217133961617947,0.0015406780876219273,34,0.8702677893137503,0.004413401268729899
0,estable,occupancy_ratio,0.9694320559501648,-0.3586597144603729,-0.41090911626815796,-1.2712326049804688,0.7312756180763245,1,0.8702677893137503,0.8436654922216338
0,estable,light,0.2514110803604126,-0.05586950108408928,-0.10809523612260818,-0.1428937017917633,-0.03776654973626137,2,0.8702677893137503,0.21879496511423788
0,estable,weather_available,2.3485615656682057e-06,2.3485615656682057e-06,1.00814997949783e-06,5.331719421519665e-07,2.1672517505066935e-06,49,0.8702677893137503,2.0438774818213094e-06
0,estable,uv_radiation_median_mw_m2,0.0016899487236514688,0.0009556341683492064,0.0007117848144844174,8.378189522773027e-05,0.0017487481236457825,47,0.8702677893137503,0.0014707079397857576
0,estable,wind_speed_median_m_s,0.004124742932617664,0.0019369020592421293,0.0021560373716056347,-0.00033861439442262053,0.004101437516510487,40,0.8702677893137503,0.00358963091345669
0,estable,wind_direction_sin_mean,0.004134529270231724,0.0013393349945545197,0.001240068580955267,-0.0008085047593340278,0.0033259515184909105,39,0.8702677893137503,0.0035981476478575553
0,estable,wind_direction_cos_mean,0.004213433712720871,0.0007823251071386039,0.0009613117435947061,-0.0016654067439958453,0.0031400853767991066,38,0.8702677893137503,0.0036668156425896195
0,estable,temperature_median_c,0.010540524497628212,0.008408044464886189,0.004996634088456631,-0.0003833774826489389,0.013201043009757996,25,0.8702677893137503,0.009173078952758332
0,estable,relative_humidity_median_pct,0.013071192428469658,0.009758297353982925,0.005398614332079887,-0.00027627722010947764,0.01825600489974022,20,0.8702677893137503,0.01137543773841892
0,estable,barometric_pressure_median_mb,0.006430060137063265,0.004152975510805845,0.001831193221732974,-0.0010386822978034616,0.006113124545663595,30,0.8702677893137503,0.0055958742206365176
