prediction_row_index,fecha_hora_local,station_id,risk_class_1h,prediction,is_error,probability_0,probability_1,probability_2
324323,2022-12-01 15:00:00,29,1,1,False,0.0010590306,0.99887687,6.40413e-05
99933,2022-11-24 01:00:00,225,0,0,False,0.99831605,0.0012515276,0.00043239677
255839,2022-12-02 02:00:00,183,0,0,False,0.9523225,0.000707265,0.046970177
97074,2022-11-24 02:00:00,221,2,2,False,0.054564122,0.0003189634,0.9451169
342420,2022-12-04 15:00:00,51,0,0,False,0.9088058,0.0006326743,0.090561606
250790,2022-12-02 00:00:00,177,2,2,False,0.08837821,0.00048008063,0.9111417
105679,2022-11-25 03:00:00,233,2,2,False,0.020994423,0.00021987608,0.97878563
275822,2022-12-24 12:00:00,207,0,0,False,0.9932654,0.006375038,0.0003595237
324982,2022-12-30 00:00:00,29,1,1,False,0.0010364008,0.9989023,6.1258164e-05
129714,2022-11-13 16:00:00,266,0,0,False,0.84572643,0.15401432,0.00025931722
367425,2022-12-26 00:00:00,84,0,0,False,0.997148,0.0020918555,0.00076014345
155960,2022-11-04 21:00:00,56,0,0,False,0.5035317,0.0015287533,0.49493957
284465,2022-12-24 03:00:00,218,1,1,False,0.003913506,0.99594647,0.00013998707
346461,2022-12-23 17:00:00,56,0,0,False,0.9774136,0.021371419,0.0012150645
99106,2022-11-19 09:00:00,224,2,0,True,0.9729714,0.00053499977,0.026493568
326183,2022-12-19 21:00:00,30,0,0,False,0.97588044,0.023366865,0.00075265026
307519,2022-12-23 09:00:00,25,0,0,False,0.99440455,0.0038511145,0.0017442632
113180,2022-11-09 23:00:00,244,2,2,False,0.250163,0.0007822386,0.74905473
141707,2022-11-06 20:00:00,38,2,2,False,0.34890047,0.0008363979,0.65026313
152759,2022-11-20 13:00:00,51,2,2,False,0.24059822,0.0006260899,0.75877565
375264,2022-12-22 04:00:00,94,0,0,False,0.9967577,0.0030527161,0.00018957899
104991,2022-11-26 06:00:00,232,2,2,False,0.10098658,0.000496266,0.89851713
41953,2022-11-21 08:00:00,151,2,0,True,0.96035093,0.019623913,0.020025179
105988,2022-11-08 03:00:00,234,2,2,False,0.07081962,0.0003975674,0.92878276
145402,2022-11-11 22:00:00,42,2,2,False,0.097893216,0.00063297193,0.9014738
68876,2022-11-11 01:00:00,186,2,2,False,0.13616365,0.00079186936,0.86304444
205852,2022-12-23 03:00:00,12,0,0,False,0.99618965,0.003280501,0.0005298754
271359,2022-12-18 06:00:00,201,0,0,False,0.99776375,0.001920801,0.00031548846
92968,2022-11-01 18:00:00,216,0,0,False,0.99239457,0.007362278,0.00024315788
145808,2022-11-28 20:00:00,42,2,2,False,0.37819302,0.0007659532,0.62104106
60187,2022-11-06 10:00:00,175,0,0,False,0.9758469,0.00048287536,0.023670206
