class_value,class_name,original_feature,rank_correlation_value_shap,direction_association,valid_rows
1,riesgo_vaciado,occupancy_ratio_lag_2h,0.022761828398711253,sin_direccion_monotona_clara,11928
1,riesgo_vaciado,occupancy_ratio_lag_24h,-0.18238980963623852,valores_altos_reducen_contribucion,10945
1,riesgo_vaciado,bikes_available_lag_1h,0.5799239470483041,valores_altos_aumentan_contribucion,11964
1,riesgo_vaciado,bikes_available_lag_2h,0.5482018102237812,valores_altos_aumentan_contribucion,11928
1,riesgo_vaciado,bikes_available_lag_24h,-0.03701639808470323,sin_direccion_monotona_clara,10945
1,riesgo_vaciado,net_flow_lag_1h,-0.6327414898413791,valores_altos_reducen_contribucion,11964
1,riesgo_vaciado,net_flow_lag_2h,-0.6970567307102947,valores_altos_reducen_contribucion,11928
1,riesgo_vaciado,net_flow_lag_24h,-0.8036383873073359,valores_altos_reducen_contribucion,10945
1,riesgo_vaciado,departures_count_lag_1h,0.8544757270828877,valores_altos_aumentan_contribucion,11964
1,riesgo_vaciado,departures_count_lag_2h,0.5679751746832522,valores_altos_aumentan_contribucion,11928
1,riesgo_vaciado,departures_count_lag_24h,0.7837280517869587,valores_altos_aumentan_contribucion,10945
1,riesgo_vaciado,arrivals_count_lag_1h,-0.8859787645481071,valores_altos_reducen_contribucion,11964
1,riesgo_vaciado,arrivals_count_lag_2h,-0.6622106298675379,valores_altos_reducen_contribucion,11928
1,riesgo_vaciado,arrivals_count_lag_24h,-0.8778103175951335,valores_altos_reducen_contribucion,10945
1,riesgo_vaciado,occupancy_ratio_mean_previous_3h,0.6849008396358894,valores_altos_aumentan_contribucion,11881
1,riesgo_vaciado,occupancy_ratio_mean_previous_24h,-0.9318523737573992,valores_altos_reducen_contribucion,10945
1,riesgo_vaciado,net_flow_mean_previous_3h,-0.8266289542378822,valores_altos_reducen_contribucion,11881
1,riesgo_vaciado,net_flow_mean_previous_24h,0.5188154016403672,valores_altos_aumentan_contribucion,10945
1,riesgo_vaciado,departures_count_mean_previous_3h,0.8923770675487384,valores_altos_aumentan_contribucion,11881
1,riesgo_vaciado,departures_count_mean_previous_24h,0.2326439926608159,valores_altos_aumentan_contribucion,10945
1,riesgo_vaciado,arrivals_count_mean_previous_3h,-0.778045650051083,valores_altos_reducen_contribucion,11881
1,riesgo_vaciado,arrivals_count_mean_previous_24h,0.26616337652407335,valores_altos_aumentan_contribucion,10945
2,riesgo_saturacion,capacity,-0.6717028720647167,valores_altos_reducen_contribucion,12000
2,riesgo_saturacion,bikes_available,0.9192812094418198,valores_altos_aumentan_contribucion,12000
2,riesgo_saturacion,docks_available,-0.6908476850776744,valores_altos_reducen_contribucion,12000
2,riesgo_saturacion,reservations_count,0.30408607110511093,valores_altos_aumentan_contribucion,12000
2,riesgo_saturacion,occupancy_ratio,0.9179108119067797,valores_altos_aumentan_contribucion,12000
2,riesgo_saturacion,light,0.40667197757956813,valores_altos_aumentan_contribucion,12000
2,riesgo_saturacion,weather_available,,sin_direccion_monotona_clara,12000
2,riesgo_saturacion,uv_radiation_median_mw_m2,,sin_direccion_monotona_clara,0
2,riesgo_saturacion,wind_speed_median_m_s,-0.4634494094982028,valores_altos_reducen_contribucion,12000
2,riesgo_saturacion,wind_direction_sin_mean,0.26277004498380724,valores_altos_aumentan_contribucion,12000
2,riesgo_saturacion,wind_direction_cos_mean,-0.6536883883173049,valores_altos_reducen_contribucion,12000
2,riesgo_saturacion,temperature_median_c,0.08706701355788123,sin_direccion_monotona_clara,12000
2,riesgo_saturacion,relative_humidity_median_pct,0.04639553756417002,sin_direccion_monotona_clara,12000
2,riesgo_saturacion,barometric_pressure_median_mb,-0.6686123911288705,valores_altos_reducen_contribucion,12000
2,riesgo_saturacion,solar_radiation_median_w_m2,-0.31630873089305916,valores_altos_reducen_contribucion,12000
2,riesgo_saturacion,precipitation_mean_l_m2,0.19416888793992493,valores_altos_aumentan_contribucion,12000
2,riesgo_saturacion,precipitation_max_l_m2,0.04755646809711509,sin_direccion_monotona_clara,12000
2,riesgo_saturacion,n_temperature,0.047348370506749934,sin_direccion_monotona_clara,12000
2,riesgo_saturacion,n_relative_humidity,-0.011851575103517625,sin_direccion_monotona_clara,12000
2,riesgo_saturacion,n_precipitation,-0.03167042504502176,sin_direccion_monotona_clara,12000
