month,expected_days,observed_days,complete_days,first_trip,last_trip,month_complete
2023-01,31,31,31,2023-01-01 00:01:08,2023-01-31 23:59:44,True
2023-02,28,18,17,2023-02-01 00:00:10,2023-02-18 07:22:48,False
