month,valid_duration_trips,mean_minutes,median_minutes,p25_minutes,p75_minutes,p95_minutes,observed_trips,below_1_minute,above_120_minutes,valid_duration_share
2023-01,216140,13.521373646710467,11.4,7.569999999999999,16.77,30.67,295923,78097,1686,0.7303927035073313
2023-02,133204,13.700063211314975,11.58,7.73,16.95,30.77,168494,34638,652,0.790556340285114
