station_id,departures,arrivals,total_activity,net_arrivals,absolute_net_flow,departure_share,station_name,address,latitude,longitude
203,1097,1038,2135,-59,59,0.5138173302107728,195 - Avenida de América 1,'Calle Padre Indalecio Hernández nº 1',40.4392222,-3.6754444
196,1084,1049,2133,-35,35,0.5082044069385842,188 - Puente de Ventas,'Avenida de Daroca nº 2',40.4311944,-3.6590555
16,1091,1039,2130,-52,52,0.5122065727699531,15 - San Vicente Ferrer,'Calle San Vicente Ferrer nº 64',40.4262383,-3.7074453
100,1083,1042,2125,-41,41,0.5096470588235295,95 - Villanueva,'Calle Claudio Coello nº 109',40.4226584,-3.6870548
151,1079,1016,2095,-63,63,0.515035799522673,136 - Castellana 106,'Paseo de la Castellana nº 106',40.4453307,-3.690861
256,1069,992,2061,-77,77,0.5186802523047065,248 - Torre Cepsa,'Calle Sinesio Delgado nº 2',40.47435,-3.68797
188,979,1051,2030,72,72,0.48226600985221674,180 - Méndez Álvaro,'Calle Retama nº 5',40.3941388,-3.6758888
150,1070,957,2027,-113,113,0.5278737049827331,133 - Raimundo Fernández,'Calle Raimundo Fernández Villaverde nº 33',40.447125,-3.7001669
97,1023,993,2016,-30,30,0.5074404761904762,92 - Claudio Coello,'Calle Claudio Coello nº 45',40.4262945,-3.6865463
193,1071,945,2016,-126,126,0.53125,185 - Quinta Fuente del Berro,'Calle Sancho Dávila esquina Paseo Marqués de Zafra',40.4250833,-3.6615277
85,944,1053,1997,109,109,0.4727090635953931,80b - Atocha B,'Paseo de la Infanta Isabel nº 3',40.4074902,-3.6901234
195,1006,989,1995,-17,17,0.5042606516290726,187 - Alcalá-Ventas,'Calle Alejandro González nº 1',40.4301666,-3.6638888
119,985,984,1969,-1,1,0.500253936008126,112 - Paseo de Moret,'Paseo de Moret nº 11',40.4325991,-3.7246532
159,1014,943,1957,-71,71,0.5181400102197241,139 - José Gutiérrez Abascal,'Calle José Gutiérrez Abascal nº 2',40.4396792,-3.6907784
105,1000,955,1955,-45,45,0.5115089514066496,100 - Palacio de Deportes,'Calle Goya nº 99',40.42478,-3.67384
37,983,962,1945,-21,21,0.5053984575835475,33 - Carretas,'Calle Carretas nº 8',40.4165039,-3.7030833
237,961,976,1937,15,15,0.49612803304078473,229 - C.D. Concepción,'Calle Jose del Hierro nº 5',40.43715089959262,-3.64835857929032
218,984,951,1935,-33,33,0.5085271317829457,210 - Tres Cruces,'Calle Tres Cruces nº 7',40.419674,-3.7026735
174,965,929,1894,-36,36,0.5095036958817318,166 - Segovia 26,'Calle Segovia nº 26',40.4138333,-3.7135833
217,910,944,1854,34,34,0.49083063646170444,209 - Plaza de Castilla 2,'Paseo Castellana (Fundación Canal)',40.4656779,-3.6887722
222,957,891,1848,-66,66,0.5178571428571429,214 - Condesa de Venadito,'Calle Condesa de Venadito nº 2',40.44315,-3.65741
88,958,884,1842,-74,74,0.5200868621064061,83 - Pío Baroja,'Calle Pío Baroja nº 10',40.4132995,-3.6745323
120,955,883,1838,-72,72,0.5195865070729053,113 - Pintor Rosales,'Paseo del Pintor Rosales frente al nº 38',40.427657,-3.7205129
101,978,858,1836,-120,120,0.5326797385620915,96 - Castelló,'Calle Alcalá nº 111',40.422064,-3.6821793
2,941,890,1831,-51,51,0.5139268159475696,1b - Puerta del Sol B,'Puerta del Sol nº 1',40.41731271011562,-3.701602938060457
107,907,886,1793,-21,21,0.5058561070831009,102 - Velázquez,'Calle Alcalá nº 95',40.4211802,-3.6840229
211,854,911,1765,57,57,0.4838526912181303,203 - San Francisco de Sales,'Calle General Ampudia nº 2',40.44175,-3.7144722
165,888,856,1744,-32,32,0.5091743119266054,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,'Paseo de la Castellana nº 43',40.4355143,-3.6892368
112,926,800,1726,-126,126,0.5365005793742758,106b - Colón B,'Calle Serrano nº 34',40.424963,-3.687745
118,833,859,1692,26,26,0.4923167848699764,111b - Arcipreste de Hita B,'Calle Arcipreste de Hita nº 12',40.4341006,-3.7179687
262,838,833,1671,-5,5,0.5014961101137043,254 - Pío XII,'Avenida Pío XII nº 3',40.46041,-3.67712
260,863,793,1656,-70,70,0.5211352657004831,252 - Chamartín,'Calle Rodríguez Jaén nº 40',40.4716,-3.68391
233,786,851,1637,65,65,0.48014660965180206,225 - Doctor Lozano,'Calle Sierra Toledana nº 33',40.40248333540473,-3.660188083470652
111,858,774,1632,-84,84,0.5257352941176471,106a - Colón A,'Calle Serrano nº 34',40.4251002,-3.6877227
228,810,809,1619,-1,1,0.5003088326127239,220 - Plaza del Encuentro,'Calle Arroyo de las Pilillas nº 6',40.40617,-3.65122
152,806,714,1520,-92,92,0.5302631578947369,137 - Plaza de la República Argentina,'Plaza de la República Argentina nº 6',40.445411,-3.6853312
191,752,746,1498,-6,6,0.5020026702269693,183 - Doctor Esquerdo-Hermosilla,'Calle Hermosilla nº 135',40.425635,-3.669339
98,770,719,1489,-51,51,0.5171255876427132,93 - Plaza de Colón,'Calle Goya nº 1',40.4257046,-3.6893698
269,726,756,1482,30,30,0.4898785425101215,261 - Facultad Derecho,'Avenida Complutense nº 23',40.45109,-3.72937
261,775,693,1468,-82,82,0.5279291553133515,253 - Doctor Fleming,'Calle Doctor Fleming nº 7',40.45546,-3.68844
61,740,699,1439,-41,41,0.5142460041695622,57 - Santa Cruz del Marcenado,'Calle Santa Cruz del Marcenado nº 24',40.4295658,-3.7126299
60,717,709,1426,-8,8,0.5028050490883591,56 - Plaza del Carmen,'Plaza del Carmen nº 1',40.4184192,-3.7032414
238,688,701,1389,13,13,0.4953203743700504,230 - Carlota O’Neill,'Calle Carlota O'Neill nº 32',40.44370542379883,-3.648958444298144
250,705,679,1384,-26,26,0.509393063583815,242 - Avenida Bruselas,'Avenida Bruselas nº 56',40.43865,-3.66301
268,664,667,1331,3,3,0.4988730277986476,260 - Facultad Biología,'Calle José Antonio Novais frente al nº 12',40.4483322,-3.7272945
239,630,631,1261,1,1,0.49960348929421095,231 - Derechos Humanos,'Calle Derechos Humanos nº 12',40.43965673033275,-3.6557656204708775
173,578,565,1143,-13,13,0.5056867891513561,159 - Paseo de la Habana 63,'Paseo de la Habana nº 63',40.4543852,-3.6835926
263,589,545,1134,-44,44,0.5194003527336861,255 - López Pozas,'Calle General López Pozas nº 2',40.46361,-3.68514
89,515,566,1081,51,51,0.47641073080481033,84 - Valderribas,'Calle Doctor Esquerdo nº 191',40.4032501,-3.6726019
258,554,485,1039,-69,69,0.5332050048123196,250 - Serrano 113,'Calle Serrano nº 113B',40.44106,-3.68609
29,548,486,1034,-62,62,0.5299806576402321,25b - Plaza de Celenque B,'Plaza de Celenque nº 1',40.4172781,-3.7063837
144,545,483,1028,-62,62,0.5301556420233463,148 - Serrano 210,'Calle Serrano nº 210',40.4510188,-3.6817962
117,504,514,1018,10,10,0.4950884086444008,111a - Arcipreste de Hita A,'Calle Arcipreste de Hita nº 12',40.4337322,-3.7175435
248,490,498,988,8,8,0.4959514170040486,240 - Avenida Brasilia,'Avenida de Brasilia frente al nº 9',40.43666,-3.66096
257,445,432,877,-13,13,0.507411630558723,249 - Manuel Caldeiro,'Paseo de la Castellana nº 298',40.47938,-3.68532
267,448,413,861,-35,35,0.5203252032520326,259 - Ciudad Universitaria 2,'Avenida de la Complutense (Metro Ciudad Universitaria)',40.44342,-3.72693
225,437,413,850,-24,24,0.5141176470588236,217 - Pedro Rico,'Calle Pedro Rico nº 4',40.481086,-3.688463
266,412,376,788,-36,36,0.5228426395939086,258 - Ciudad Universitaria 1,'Avenida de la Complutense (Metro Ciudad Universitaria)',40.44375,-3.72699
137,377,359,736,-18,18,0.5122282608695652,157 - Castellana 164,'Paseo de la Castellana nº 164',40.4591366,-3.6894151
28,358,309,667,-49,49,0.5367316341829086,25a - Plaza de Celenque A,'Plaza de Celenque nº 1',40.4173703,-3.7057791
229,313,307,620,-6,6,0.5048387096774194,221 - Pavones,'Calle Hacienda de Pavones nº 342',40.400368,-3.634587
889,3,4,7,1,1,0.42857142857142855,889 - 889 - Virtual PBSC pruebas - Cerro de la Plata,,40.399978,-3.67531
