station_id,departures,arrivals,total_activity,net_arrivals,absolute_net_flow,departure_share,station_name,address,latitude,longitude
52,2645,2659,5304,14,14,0.49868024132730016,48 - Embajadores 2,'Glorieta de Embajadores nº 2',40.4056107,-3.7022591
51,2573,2607,5180,34,34,0.49671814671814674,47 - Embajadores 1,'Glorieta de Embajadores nº 6',40.4047851,-3.7028265
56,2565,2584,5149,19,19,0.4981549815498155,52 - Plaza de Santa Ana,'Plaza de Santa Ana nº 10',40.4144226,-3.7007164
80,2532,2611,5143,79,79,0.4923196577872837,76 - Puerta de Mariano de Cavia,'Avenida del Mediterráneo nº 19',40.4071304,-3.6751352
38,2532,2591,5123,59,59,0.4942416552801093,34 - Jacinto Benavente,'Plaza de Jacinto Benavente',40.4146755,-3.7036825
145,2572,2545,5117,-27,27,0.5026382646081688,151 - Orense 12,'Calle Orense nº 12',40.4489101,-3.6952943
183,2524,2557,5081,33,33,0.49675260775437907,175 - Jaime el Conquistador,'Calle Jaime el Conquistador nº 30',40.3962222,-3.6983055
232,2402,2563,4965,161,161,0.4837865055387714,224 - Caramuel,'Calle Caramuel nº 51',40.40913630273305,-3.728533714316331
133,2409,2542,4951,133,133,0.4865683700262573,162 - Metro Pirámides,'Paseo de los Olmos nº 28',40.4034076,-3.7108108
123,2426,2516,4942,90,90,0.490894374747066,116a - Plaza de España A,'Calle Princesa nº 5',40.423668,-3.713053
231,2392,2542,4934,150,150,0.4847993514389947,223 - Ermita Santo,'Paseo de la Ermita del Santo nº 48',40.406837862773465,-3.7244893989507686
84,2394,2502,4896,108,108,0.4889705882352941,80a - Atocha A,'Paseo de la Infanta Isabel nº 3',40.4075685,-3.6902255
210,2362,2524,4886,162,162,0.4834220221039705,202 - Parque Santander,'Calle Santander esquina con Avenida de Filipinas',40.4411388,-3.7080833
207,2443,2442,4885,-1,1,0.5001023541453429,199 - Fernando el Católico,'Calle Fernando el Católico nº 61',40.4343611,-3.7149166
131,2421,2429,4850,8,8,0.49917525773195875,123 - Guzmán el Bueno,'Calle Guzmán el Bueno nº 1',40.4306458,-3.7133412
181,2420,2428,4848,8,8,0.4991749174917492,173 - Puente Praga,'Paseo de la Esperanza nº 59',40.3981798,-3.7023918
186,2361,2465,4826,104,104,0.4892250310816411,178 - Junta Municipal Retiro,'Calle León Gil de Palacio nº 3',40.4029202,-3.6788343
230,2359,2467,4826,108,108,0.4888106092001658,222 - Antonio López,'Calle Eugenio Caxes frente al nº 12',40.3917871,-3.7026789
179,2315,2369,4684,54,54,0.4942356959863365,171 - Embajadores-Cáceres,'Calle Embajadores nº 101',40.39975,-3.6983888
213,2276,2320,4596,44,44,0.49521322889469105,205 - Estrecho,'Calle Navarra nº 1',40.4535,-3.7032777
65,2304,2287,4591,-17,17,0.5018514484861686,61 - Narváez,'Calle O'Donnell nº 28',40.4213983,-3.6752045
103,2302,2259,4561,-43,43,0.5047138785354089,98 - Plaza de Felipe II,'Plaza de Felipe II',40.4239447,-3.6758383
53,2232,2308,4540,76,76,0.49162995594713654,49 - Casa Encendida,'Ronda de Atocha nº 34',40.4060941,-3.6992759
128,2239,2259,4498,20,20,0.4977767896843041,120 - Palos de la Frontera,'Calle Palos de la Frontera nº 27',40.4032208,-3.6944768
33,2220,2253,4473,33,33,0.49631120053655264,29 - Marqués de Cubas,'Calle del Marqués de Cubas nº 25',40.4162619,-3.6957355
178,2204,2241,4445,37,37,0.4958380202474691,170 - Paseo de la Esperanza,'Paseo de la Esperanza nº 21',40.401,-3.7043611
95,2267,2171,4438,-96,96,0.5108156827399729,90 - General Pardiñas,'Calle Goya nº 18',40.4250361,-3.6837876
50,2179,2237,4416,58,58,0.49343297101449274,46 - Ribera de Curtidores,'Calle Ribera de Curtidores nº 28',40.4053153,-3.7071259
134,2139,2184,4323,45,45,0.49479528105482307,163 - Paseo de la Esperanza,'Paseo de la Esperanza nº 2',40.4035988,-3.7064516
212,2161,2150,4311,-11,11,0.5012758060774762,204 - Cuatro Caminos 2,'Calle Doctor Santero nº 1',40.4476666,-3.7041666
161,2225,2079,4304,-146,146,0.5169609665427509,129 - José Abascal,'Calle José Abascal nº 33',40.4383865,-3.6982353
177,2111,2185,4296,74,74,0.49138733705772814,169 - Pirámides,'Calle Toledo nº 181',40.4016111,-3.7138055
206,2181,2103,4284,-78,78,0.5091036414565826,198 - Rubén Darío,'Glorieta Rubén Darío 2',40.4331111,-3.6915555
